"date","close","volume","open","high","low"
"2017/05/09","3395.0390","0.0000","3381.8900","3402.6000","3380.2570"
"2017/05/08","3378.1560","0.0000","3376.3590","3381.6460","3372.2610"
"2017/05/05","3379.4760","0.0000","3369.2200","3379.4760","3354.2900"
"2017/05/04","3362.9950","0.0000","3366.3030","3370.3800","3352.5240"
"2017/05/03","3361.7570","0.0000","3354.4260","3364.5560","3344.2970"
"2017/05/02","3365.9360","0.0000","3369.8910","3370.0170","3348.8850"
"2017/05/01","3364.7140","0.0000","3345.3040","3367.3620","3336.3730"
"2017/04/28","3336.7650","0.0000","3351.1710","3357.1390","3323.5300"
"2017/04/27","3348.8640","0.0000","3334.9010","3350.1980","3330.6200"
"2017/04/26","3317.1270","0.0000","3339.8630","3344.2930","3314.1580"
"2017/04/25","3355.2460","0.0000","3341.5400","3359.3870","3334.5950"
"2017/04/24","3326.4080","0.0000","3322.4070","3331.9600","3313.9900"
"2017/04/21","3277.6690","0.0000","3280.8870","3280.9830","3265.5550"
"2017/04/20","3285.5440","0.0000","3265.1750","3292.2850","3254.5020"
"2017/04/19","3251.1540","0.0000","3254.9810","3267.3920","3246.3380"
"2017/04/18","3231.2200","0.0000","3219.2060","3234.9700","3215.3820"
"2017/04/17","3229.6830","0.0000","3213.6020","3231.9000","3213.0470"
"2017/04/13","3203.1060","0.0000","3203.9500","3237.2130","3199.6850"
"2017/04/12","3212.8950","0.0000","3239.7250","3241.9810","3206.2510"
"2017/04/11","3244.2710","0.0000","3249.0750","3255.2690","3208.6580"
"2017/04/10","3256.2040","0.0000","3263.9970","3273.1210","3246.5330"
"2017/04/07","3263.1610","0.0000","3252.2720","3268.3300","3241.0480"
"2017/04/06","3253.5570","0.0000","3243.8700","3260.9820","3231.0950"
"2017/04/05","3243.7650","0.0000","3268.1060","3288.9180","3238.2160"
"2017/04/04","3259.3850","0.0000","3248.8960","3267.9790","3246.7020"
"2017/04/03","3262.8740","0.0000","3277.1030","3282.7560","3241.6040"
"2017/03/31","3275.5340","0.0000","3278.7150","3287.9640","3273.1890"
"2017/03/30","3283.2770","0.0000","3274.6960","3293.5890","3274.2300"
"2017/03/29","3276.9380","0.0000","3270.3860","3278.3790","3261.8770"
"2017/03/28","3274.4200","0.0000","3260.1100","3284.6430","3256.5250"
"2017/03/27","3261.9260","0.0000","3230.6520","3269.3180","3223.2940"
"2017/03/24","3260.2090","0.0000","3278.9270","3291.6350","3249.5020"
"2017/03/23","3243.3040","0.0000","3242.0980","3255.1840","3233.2280"
"2017/03/22","3244.7100","0.0000","3211.9740","3246.3480","3210.3650"
"2017/03/21","3213.8990","0.0000","3291.8970","3292.8780","3210.0860"
"2017/03/20","3279.1430","0.0000","3273.2760","3291.1470","3270.6130"
"2017/03/17","3272.9990","0.0000","3277.0280","3283.9150","3272.1190"
"2017/03/16","3265.5340","0.0000","3273.3490","3277.2480","3258.7970"
"2017/03/15","3265.6630","0.0000","3247.3810","3270.1180","3233.1670"
"2017/03/14","3242.8570","0.0000","3250.2750","3250.7110","3223.6200"
"2017/03/13","3258.0570","0.0000","3234.0320","3260.2700","3233.7060"
"2017/03/10","3232.0840","0.0000","3227.0180","3236.8950","3215.8750"
"2017/03/09","3206.3240","0.0000","3203.3880","3211.8810","3186.7180"
"2017/03/08","3210.6510","0.0000","3210.0420","3221.3770","3203.8770"
"2017/03/07","3204.4980","0.0000","3200.9180","3218.4720","3193.6160"
"2017/03/06","3206.7220","0.0000","3197.4390","3211.6570","3185.3500"
"2017/03/03","3213.8660","0.0000","3206.0350","3214.6230","3198.8180"
"2017/03/02","3207.8090","0.0000","3229.8450","3230.9430","3203.2510"
"2017/03/01","3233.6080","0.0000","3216.4210","3236.9300","3198.3030"
"2017/02/28","3187.5440","0.0000","3199.8750","3201.2970","3181.1640"
"2017/02/27","3203.5100","0.0000","3190.6230","3203.7960","3184.6620"
"2017/02/24","3196.7900","0.0000","3160.4030","3196.7900","3154.6950"
"2017/02/23","3187.9080","0.0000","3210.8070","3211.4940","3171.6250"
"2017/02/22","3210.0230","0.0000","3201.5630","3211.5610","3194.6650"
"2017/02/21","3206.3520","0.0000","3192.7390","3208.0570","3191.1760"
